team_size,task_count,high_priority_count,medium_priority_count,low_priority_count,completion_rate,actual_days
7,52,28,14,10,0.73,34
7,83,74,7,2,0.33,91
3,22,20,1,1,0.72,20
2,64,59,4,1,0.62,68
12,89,48,26,15,0.61,57
16,15,13,1,1,0.79,7
20,64,2,36,26,0.61,32
7,18,3,8,7,0.97,6
9,90,52,1,37,0.68,58
7,44,7,34,3,0.91,15
8,4,1,1,2,0.52,5
18,90,43,33,14,0.4,90
16,15,7,6,2,0.52,13
16,82,52,23,7,0.36,75
13,41,28,12,1,0.07,64
1,8,7,0,1,0.82,6
3,35,32,2,1,0.07,61
9,28,6,8,14,0.62,17
16,23,23,0,0,0.67,16
3,65,46,13,6,0.85,40
14,27,8,14,5,0.43,19
13,51,31,6,14,0.48,44
4,94,22,14,58,0.76,50
7,59,50,5,4,0.88,30
6,28,27,1,0,0.19,46
11,92,88,0,4,0.27,119
20,77,2,69,6,0.51,51
5,97,50,41,6,0.34,129
9,52,48,0,4,0.25,62
7,2,2,0,0,0.3,5
17,59,48,1,10,0.5,43
5,96,96,0,0,0.63,91
12,90,31,5,54,0.24,98
11,56,16,37,3,0.37,55
6,86,10,15,61,0.84,35
6,80,2,19,59,0.33,70
3,19,19,0,0,0.65,16
1,40,38,1,1,0.84,31
18,23,9,2,12,0.23,20
16,60,48,1,11,1.0,19
5,37,31,2,4,0.19,51
19,48,15,2,31,0.86,17
1,24,19,2,3,0.94,14
8,84,24,28,32,0.28,84
2,54,34,15,5,0.99,19
4,33,13,20,0,0.18,44
8,7,2,0,5,0.31,7
19,86,21,29,36,0.97,22
8,27,26,1,0,0.35,33
15,64,60,2,2,0.57,56
17,44,27,13,4,0.91,15
9,37,23,12,2,0.43,41
3,60,32,19,9,0.29,78
1,67,17,24,26,0.39,95
3,46,23,17,6,0.62,46
2,27,9,1,17,0.32,37
9,43,38,4,1,0.3,51
18,25,23,0,2,0.08,28
4,45,19,0,26,0.07,64
14,76,14,27,35,0.58,48
19,25,25,0,0,0.54,19
17,52,41,5,6,0.3,56
5,97,7,52,38,0.27,122
7,68,5,44,19,0.19,75
3,55,39,15,1,0.98,22
19,17,4,9,4,0.96,5
9,12,4,0,8,0.17,12
2,96,47,24,25,0.66,77
16,61,38,4,19,0.61,41
12,26,15,2,9,0.76,12
14,92,68,14,10,0.04,142
20,69,15,25,29,0.76,34
4,33,29,4,0,0.4,42
5,100,33,51,16,0.37,112
1,69,3,15,51,0.07,116
17,92,31,26,35,0.8,43
3,33,32,0,1,0.55,41
3,65,32,9,24,0.21,86
12,95,45,1,49,0.04,128
17,90,7,25,58,0.68,44
19,7,3,1,3,0.7,5
4,89,20,35,34,0.18,124
3,49,34,15,0,0.13,75
5,12,0,6,6,0.75,7
9,30,16,0,14,0.51,27
13,59,18,35,6,0.01,86
12,9,6,3,0,0.95,5
19,16,4,2,10,0.6,9
4,53,22,15,16,0.79,27
10,58,38,13,7,0.55,47
11,75,17,46,12,0.14,94
12,17,5,6,6,0.43,13
9,50,26,1,23,0.08,58
19,8,0,5,3,0.81,5
13,4,3,1,0,0.71,5
12,54,38,9,7,0.91,19
3,45,12,27,6,0.57,43
8,61,40,6,15,0.75,38
17,25,23,0,2,0.22,34
12,45,31,12,2,0.04,71
11,36,34,2,0,0.97,12
9,49,13,14,22,0.45,43
3,16,10,3,3,0.96,5
6,76,23,27,26,0.34,72
4,90,7,57,26,0.23,100
5,41,35,2,4,0.7,31
1,84,76,2,6,0.82,74
5,47,24,1,22,0.08,76
13,5,0,5,0,0.81,5
17,11,4,1,6,0.38,10
17,77,32,33,12,0.04,85
16,55,5,27,23,0.81,26
6,3,0,2,1,0.77,5
10,83,16,0,67,0.95,25
1,32,27,1,4,0.5,42
3,50,11,0,39,0.55,43
17,47,22,14,11,0.78,24
11,51,38,5,8,0.62,44
18,98,81,14,3,0.44,101
20,38,32,6,0,0.4,37
19,81,4,28,49,0.15,89
10,17,4,1,12,0.62,10
11,43,10,22,11,0.13,45
16,8,3,3,2,0.35,8
3,27,17,9,1,0.22,44
18,92,41,21,30,0.09,96
9,12,9,1,2,0.36,13
13,27,8,14,5,0.63,15
11,63,47,16,0,0.28,80
17,99,51,14,34,0.54,82
14,90,27,22,41,0.53,69
14,59,55,2,2,0.71,43
14,18,5,2,11,0.4,13
5,28,9,6,13,0.32,28
12,25,16,3,6,0.47,21
9,18,14,3,1,0.54,16
8,40,18,9,13,0.28,43
2,59,55,2,2,0.99,26
1,53,21,20,12,0.15,85
4,94,74,8,12,0.08,158
8,36,23,5,8,0.4,42
4,79,5,50,24,0.82,42
11,8,2,4,2,0.77,5
4,19,19,0,0,0.51,19
15,1,1,0,0,0.77,5
11,100,76,10,14,0.59,76
10,5,1,3,1,0.2,5
20,65,62,0,3,0.0,83
15,24,5,2,17,0.35,23
12,50,13,10,27,0.94,14
3,1,1,0,0,0.72,5
8,11,8,0,3,0.2,12
5,5,2,2,1,0.63,5
13,42,24,17,1,0.82,20
14,32,32,0,0,0.75,19
17,97,65,13,19,0.07,115
7,51,5,5,41,0.33,51
10,64,14,46,4,0.62,43
7,27,3,5,19,0.75,15
1,68,65,1,2,0.49,101
6,13,3,7,3,0.6,9
8,5,4,0,1,0.41,5
19,36,35,1,0,0.25,40
11,74,37,5,32,0.4,68
14,12,9,0,3,0.14,13
1,60,42,11,7,0.1,133
5,37,7,30,0,0.15,50
9,51,28,13,10,0.93,21
1,46,36,4,6,0.17,78
1,63,53,6,4,0.23,118
15,73,52,8,13,0.21,93
9,35,24,9,2,0.92,13
18,91,33,26,32,0.45,66
12,51,23,24,4,0.5,41
1,49,28,10,11,0.63,42
17,71,48,19,4,0.41,58
8,49,6,0,43,0.31,45
19,56,18,31,7,0.47,45
16,40,18,17,5,0.29,43
18,66,37,18,11,0.16,69
7,3,3,0,0,0.27,5
2,97,86,6,5,0.16,184
8,65,56,6,3,0.25,77
8,54,46,4,4,0.18,78
15,8,1,2,5,0.24,8
14,16,3,3,10,0.67,8
16,82,6,73,3,0.09,83
19,19,3,1,15,0.91,6
11,2,2,0,0,0.59,5
5,37,37,0,0,0.77,24
12,99,85,11,3,0.14,149
14,87,80,1,6,0.02,120
8,66,24,38,4,0.22,82
14,4,1,1,2,0.9,5
5,75,69,1,5,0.53,84
9,38,33,0,5,0.41,40
12,87,85,0,2,0.26,100
8,98,11,52,35,0.18,124
14,64,1,59,4,0.96,16
4,26,20,2,4,0.29,33
17,59,38,7,14,0.57,43
15,24,21,1,2,0.73,13
4,20,18,2,0,0.84,13
13,98,72,25,1,0.47,85
8,17,0,10,7,0.6,11
3,3,1,0,2,0.0,5
6,98,11,18,69,0.31,108
17,61,16,9,36,0.69,32
12,62,15,23,24,0.76,32
17,87,79,5,3,0.98,30
12,15,10,1,4,0.05,21
10,16,6,0,10,0.18,18
7,14,14,0,0,0.7,9
16,72,58,6,8,0.8,40
20,39,34,1,4,0.52,33
14,31,23,2,6,0.56,24
3,37,25,6,6,0.4,46
17,4,4,0,0,0.66,5
1,16,12,1,3,0.88,9
3,42,33,6,3,0.19,64
3,39,28,0,11,0.4,47
16,56,43,8,5,0.77,29
7,84,4,64,16,0.24,80
14,30,17,3,10,0.72,17
16,65,52,13,0,0.05,79
4,12,10,1,1,0.8,7
6,39,23,10,6,0.9,19
7,52,3,7,42,0.94,17
19,74,56,8,10,0.19,94
6,5,4,1,0,0.97,5
3,20,16,4,0,0.26,30
18,62,16,23,23,0.9,20
13,89,72,3,14,0.58,62
9,56,2,27,27,0.48,37
2,76,41,8,27,0.33,116
11,59,33,23,3,0.25,58
5,48,25,17,6,0.08,66
13,28,4,12,12,0.85,10
19,58,2,55,1,0.66,32
13,33,5,23,5,0.8,15
1,59,58,1,0,0.71,64
10,100,62,26,12,0.75,53
11,45,30,6,9,0.01,71
7,31,17,3,11,0.56,27
12,39,1,31,7,0.08,42
9,17,7,1,9,0.63,11
3,70,29,6,35,0.54,75
15,94,36,28,30,0.79,40
4,68,63,0,5,0.77,51
1,22,17,1,4,0.99,10
12,36,34,0,2,0.38,33
1,6,6,0,0,0.49,9
2,46,33,12,1,0.94,19
9,39,14,22,3,0.83,17
2,47,13,19,15,0.65,36
17,56,27,28,1,0.94,18
20,6,2,0,4,0.44,5
6,15,1,12,2,0.2,19
12,18,14,3,1,0.47,19
14,89,16,52,21,0.15,96
18,71,2,63,6,0.29,71
3,20,13,6,1,0.48,19
17,84,8,37,39,0.23,71
2,88,71,10,7,0.98,34
18,94,63,17,14,0.48,81
11,45,24,0,21,0.95,16
11,86,50,23,13,0.15,96
14,32,14,15,3,0.48,24
1,74,39,31,4,0.94,33
1,33,12,0,21,0.82,20
7,66,37,6,23,0.2,89
15,98,43,48,7,0.95,27
6,9,5,0,4,0.05,13
18,76,7,49,20,0.63,47
15,7,2,3,2,0.55,5
3,41,41,0,0,0.44,56
12,87,11,12,64,0.48,66
19,55,45,3,7,0.74,35
19,44,17,5,22,0.72,21
9,59,2,27,30,0.2,65
15,97,6,75,16,0.17,114
20,37,3,27,7,0.37,34
18,49,31,8,10,0.44,45
4,66,33,5,28,0.66,58
12,3,0,1,2,0.63,5
3,26,7,3,16,0.91,10
12,14,13,1,0,0.18,20
13,41,13,23,5,0.58,30
7,70,16,24,30,0.97,20
5,5,0,3,2,0.13,7
15,31,10,9,12,0.07,33
10,93,9,75,9,0.83,39
20,8,0,8,0,0.17,7
11,37,36,1,0,0.47,40
12,56,27,14,15,0.87,21
20,78,1,72,5,0.53,58
1,35,5,4,26,0.93,14
17,51,13,11,27,0.15,61
11,98,88,1,9,0.97,35
15,43,22,11,10,0.53,29
13,52,15,7,30,0.97,12
8,29,5,4,20,0.96,8
1,55,54,1,0,0.37,76
18,17,7,7,3,0.77,7
14,68,32,0,36,0.22,76
16,69,61,1,7,1.0,17
9,33,24,8,1,0.09,44
11,68,3,18,47,0.81,30
9,23,18,4,1,0.82,11
7,89,84,0,5,0.37,102
19,60,28,24,8,0.6,40
3,44,37,1,6,0.59,39
14,74,65,8,1,0.38,85
16,66,27,28,11,0.34,60
2,48,36,11,1,0.48,56
6,46,43,2,1,0.52,51
11,80,46,14,20,0.24,104
15,68,20,12,36,0.35,53
4,52,45,2,5,0.93,24
8,16,9,3,4,0.72,9
13,4,1,0,3,0.52,5
12,74,38,12,24,0.18,82
17,42,41,1,0,0.96,14
7,54,0,43,11,0.04,72
13,22,21,0,1,0.88,9
9,15,9,1,5,0.36,17
16,49,25,4,20,0.3,52
4,60,38,9,13,0.81,39
10,97,54,4,39,0.17,128
2,33,20,0,13,0.18,49
3,92,70,10,12,0.23,134
2,64,34,6,24,0.7,50
7,41,10,6,25,0.34,44
4,90,41,31,18,0.27,101
8,97,35,2,60,0.4,87
6,41,38,3,0,0.44,50
5,44,26,7,11,0.88,22
12,58,2,21,35,0.67,36
2,81,34,33,14,0.45,89
12,58,35,4,19,0.18,74
16,62,29,15,18,0.0,76
8,84,2,15,67,0.38,64
19,5,3,0,2,0.84,5
6,22,17,0,5,0.61,18
20,98,13,35,50,0.3,78
2,85,1,72,12,0.51,90
4,82,54,5,23,0.92,37
5,12,0,9,3,0.54,9
10,30,13,5,12,0.14,33
14,73,14,20,39,0.02,78
3,82,77,3,2,0.57,98
2,25,21,0,4,0.92,13
14,80,53,13,14,0.17,97
9,6,0,4,2,0.37,5
2,68,24,14,30,0.96,27
13,31,13,17,1,0.28,36
11,2,2,0,0,0.15,5
19,34,9,24,1,0.06,46
15,73,8,20,45,0.12,72
19,7,7,0,0,0.69,5
4,40,16,4,20,0.62,29
20,36,36,0,0,0.89,14
3,7,2,3,2,0.48,6
5,55,1,26,28,0.42,54
10,87,57,23,7,0.54,67
18,85,52,17,16,0.06,93
17,99,59,10,30,0.45,93
4,34,17,7,10,0.81,20
6,42,20,9,13,0.89,21
17,9,8,0,1,0.81,5
1,10,1,9,0,0.25,16
11,34,7,26,1,0.45,26
17,60,22,23,15,0.88,19
12,65,7,12,46,0.04,81
1,51,23,2,26,0.01,112
8,58,30,13,15,0.99,20
19,7,2,3,2,0.35,5
5,94,7,63,24,0.42,77
16,92,80,7,5,0.77,53
2,79,49,2,28,0.12,138
14,41,24,17,0,0.32,38
8,2,1,0,1,0.58,5
2,11,9,2,0,0.11,20
9,25,7,13,5,0.44,23
20,30,19,4,7,0.68,18
17,21,2,6,13,0.85,8
18,21,12,4,5,0.98,6
14,7,6,1,0,0.05,9
11,89,21,28,40,0.73,42
15,52,26,17,9,0.21,58
12,77,21,42,14,0.76,42
3,63,53,2,8,0.15,92
12,25,4,14,7,0.16,28
8,1,1,0,0,0.73,5
8,99,95,1,3,0.66,73
14,91,26,65,0,0.36,91
20,36,21,9,6,0.76,15
17,78,13,33,32,0.76,38
16,95,69,23,3,0.5,71
15,4,3,1,0,0.89,5
5,85,53,20,12,0.03,123
13,20,16,3,1,0.51,18
5,80,57,22,1,0.7,52
2,30,17,2,11,0.27,47
17,63,45,18,0,0.06,80
6,31,3,18,10,0.44,24
17,55,32,17,6,0.37,45
15,75,56,12,7,0.17,96
20,47,26,14,7,0.41,45
11,9,9,0,0,0.59,6
10,50,2,12,36,0.7,27
13,70,50,20,0,0.06,108
19,69,63,4,2,0.48,60
5,100,69,25,6,0.08,169
18,35,0,23,12,0.73,17
14,60,43,3,14,0.01,79
10,30,21,6,3,0.25,40
10,80,15,53,12,0.43,76
6,44,8,35,1,0.03,54
11,57,20,3,34,0.32,60
6,15,1,7,7,0.55,10
16,71,20,41,10,0.83,32
14,57,36,20,1,0.26,67
5,88,48,18,22,0.31,120
12,61,40,0,21,0.15,70
10,71,32,16,23,0.98,19
11,41,38,1,2,0.55,37
14,70,64,1,5,0.17,103
16,57,1,9,47,0.46,38
7,86,75,7,4,0.79,46
